year,title,vote_average,vote_count,budget,revenue,runtime,genres_description
1972,The Godfather,8.7,19234,6000000,245066411,175,"Drama, Crime"
1994,The Shawshank Redemption,8.7,25240,25000000,28341469,142,"Drama, Crime"
2023,Pretty Guardian Sailor Moon Cosmos The Movie Part 1,8.7,7,0,0,80,Animation
1974,The Godfather Part II,8.6,11594,13000000,102600000,202,"Drama, Crime"
2023,¿Quieres ser mi hijo?,8.6,195,0,0,100,"Comedy, Romance"
1993,Schindler's List,8.6,14951,22000000,321365567,195,"History, War, Drama"
2001,Spirited Away,8.5,15309,19000000,274925095,125,"Family, Animation, Fantasy"
1994,Forrest Gump,8.5,25911,55000000,677387716,142,"Romance, Drama, Comedy"
1999,The Green Mile,8.5,16309,60000000,286801374,189,"Drama, Fantasy, Crime"
2003,The Lord of the Rings: The Return of the King,8.5,22793,94000000,1118888979,201,"Adventure, Fantasy, Action"
2019,Parasite,8.5,16875,11363000,257591776,133,"Comedy, Thriller, Drama"
1994,Pulp Fiction,8.5,26382,8500000,213900000,154,"Thriller, Crime"
2008,The Dark Knight,8.5,31179,185000000,1004558444,152,"Drama, Thriller, Crime, Action"
2016,Your Name.,8.5,10630,0,358000000,106,"Animation, Romance, Drama"
1966,"The Good, the Bad and the Ugly",8.5,7973,1200000,38900000,161,Western
1990,GoodFellas,8.5,12016,25000000,46800000,145,"Crime, Drama"
2023,Spider-Man: Across the Spider-Verse,8.4,5392,100000000,690500000,140,"Adventure, Action, Science Fiction, Animation"
2023,The Color Purple,8.4,17,95000000,47200000,141,Drama
2004,Howl's Moving Castle,8.4,9003,24000000,236049757,119,"Fantasy, Adventure, Animation"
2002,The Lord of the Rings: The Two Towers,8.4,20647,79000000,926287400,179,"Fantasy, Action, Adventure"
2001,The Lord of the Rings: The Fellowship of the Ring,8.4,23751,93000000,871368364,179,"Fantasy, Adventure, Action"
1999,Fight Club,8.4,27770,63000000,100853753,139,Drama
2014,Whiplash,8.4,14173,3300000,13092000,107,"Music, Drama"
2023,Me Vuelves Loca,8.4,108,0,0,0,Comedy
2023,Once Upon a Studio,8.4,271,0,0,9,"Family, Comedy, Animation, Fantasy"
2023,Welcome al Norte,8.4,60,0,0,100,Comedy
2014,Interstellar,8.4,33258,165000000,701729206,169,"Adventure, Science Fiction, Drama"
1995,Se7en,8.4,19800,33000000,327311859,127,"Crime, Thriller, Mystery"
2023,The Legend of the Spirits,8.4,198,1100000,0,89,"Family, Animation, Horror, Comedy"
