id,year,title,vote_average,vote_count,budget,revenue,runtime,genres_description
457332,2023,Hidden Strike,7,826,80000000,0,103,"Adventure, Comedy, Action, Thriller"
246655,2016,X-Men: Apocalypse,6.5,12352,178000000,543934787,144,"Science Fiction, Action, Fantasy, Adventure"
281957,2015,The Revenant,7.5,17333,135000000,532950503,157,"Western, Adventure, Drama"
1178734,2023,Knuckle Girl,6.7,18,0,0,107,"Drama, Action"
10830,1996,Matilda,7.2,4109,36000000,33500000,98,"Family, Comedy, Fantasy"
726684,2021,Miraculous World: Shanghai – The Legend of Ladydragon,7.9,599,0,0,54,"Animation, Action, TV Movie, Fantasy"
119450,2014,Dawn of the Planet of the Apes,7.3,10505,170000000,710644566,130,"Action, Thriller, Science Fiction, Drama"
35,2007,The Simpsons Movie,7,7547,75000000,527068851,87,"Family, Comedy, Animation"
1011985,2024,Kung Fu Panda 4,0,0,0,0,0,"Family, Animation, Comedy, Adventure, Action"
49051,2012,The Hobbit: An Unexpected Journey,7.3,17594,250000000,1021103568,169,"Action, Fantasy, Adventure"
420817,2019,Aladdin,7.1,9550,183000000,1054300000,127,"Fantasy, Adventure, Family, Romance"
72190,2013,World War Z,6.8,14616,200000000,531865000,116,"Action, Drama, Science Fiction, Horror, Thriller"
988078,2023,Through My Window: Across the Sea,6.5,614,0,0,110,"Romance, Comedy, Drama"
929,1998,Godzilla,5.6,3613,130000000,379000000,138,"Action, Science Fiction, Thriller"
58,2006,Pirates of the Caribbean: Dead Man's Chest,7.3,15086,200000000,1065700000,151,"Fantasy, Adventure, Action"
339964,2017,Valerian and the City of a Thousand Planets,6.6,7119,177200000,225973340,136,"Action, Science Fiction, Adventure"
131634,2015,The Hunger Games: Mockingjay - Part 2,6.9,11866,160000000,653428261,137,"Adventure, Science Fiction, Action"
863,1999,Toy Story 2,7.6,13106,90000000,497400000,92,"Animation, Family, Comedy"
739405,2023,Operation Fortune: Ruse de Guerre,6.6,1164,50000000,37800000,114,"Comedy, Thriller, Action"
140607,2015,Star Wars: The Force Awakens,7.3,18576,245000000,2068223624,136,"Action, Science Fiction, Adventure"
934632,2024,Rebel Moon - Part Two: The Scargiver,0,0,83000000,0,0,"Action, Science Fiction, Drama"
805320,2023,Bird Box Barcelona,6,557,19800000,0,124,"Horror, Thriller, Science Fiction"
752623,2022,The Lost City,6.6,3164,74000000,192907684,112,"Comedy, Action, Adventure"
102651,2014,Maleficent,7.1,12605,180000000,758539785,97,"Fantasy, Family, Adventure, Action, Romance"
312221,2015,Creed,7.4,7063,37000000,17360000,133,"Action, Drama"
190859,2014,American Sniper,7.4,12277,58800000,542300000,133,"Action, War"
565770,2023,Blue Beetle,6.9,1979,104000000,129300000,128,"Adventure, Action, Science Fiction"
451048,2021,Jungle Cruise,7.4,5311,200000000,220889446,127,"Action, Fantasy, Adventure"
10140,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.4,5288,155000000,415686217,113,"Adventure, Family, Fantasy"
535167,2019,The Wandering Earth,6.6,832,48000000,0,126,"Science Fiction, Drama, Action"
299536,2018,Avengers: Infinity War,8.3,28196,300000000,2052415039,149,"Action, Science Fiction, Adventure"
850880,2023,Sayen: Desert Road,6.2,49,0,0,94,"Thriller, Action"
532961,2020,Looking for Magical Doremi,6.4,11,0,0,92,"Fantasy, Adventure, Comedy, Animation"
