id,genre_ids,original_language,overview,popularity,release_date,title,vote_average,vote_count,budget,revenue,runtime
502356,"{16,10751,12,14,35}",en,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",535.676,2023-04-05,The Super Mario Bros. Movie,7.7,7647,100000000.0,1362000000.0,93
502356,"{16,10751,12,14,35}",en,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",535.676,2023-04-05,The Super Mario Bros. Movie,7.7,7647,100000000.0,1362000000.0,93
848326,{878},en,"When a peaceful colony on the edge of the galaxy finds itself threatened by the armies of the tyrannical Regent Balisarius, they dispatch Kora, a young woman with a mysterious past, to seek out warriors from neighboring planets to help them take a stand.",2998.858,2023-12-15,Rebel Moon - Part One: A Child of Fire,6.5,949,83000000.0,0.0,134
695721,"{18,878,28}",en,"64 years before he becomes the tyrannical president of Panem, Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird, the female tribute from District 12.",2750.026,2023-11-15,The Hunger Games: The Ballad of Songbirds & Snakes,7.2,1289,100000000.0,322600000.0,157
1029575,"{28,35}",en,"Dan Morgan is many things: a devoted husband, a loving father, a celebrated car salesman. He's also a former assassin. And when his past catches up to his present, he's forced to take his unsuspecting family on a road trip unlike any other.",2069.624,2023-12-14,The Family Plan,7.4,539,0.0,208.0,119
891699,"{28,80}",en,"A tormented father witnesses his young son die when caught in a gang's crossfire on Christmas Eve. While recovering from a wound that costs him his voice, he makes vengeance his life's mission and embarks on a punishing training regimen in order to avenge his son's death.",1797.04,2023-11-30,Silent Night,5.8,220,0.0,0.0,104
572802,"{28,12,14}",en,"Black Manta, still driven by the need to avenge his father's death and wielding the power of the mythic Black Trident, will stop at nothing to take Aquaman down once and for all. To defeat him, Aquaman must turn to his imprisoned brother Orm, the former King of Atlantis, to forge an unlikely alliance in order to save the world from irreversible destruction.",1542.493,2023-12-20,Aquaman and the Lost Kingdom,6.5,357,205000000.0,255400000.0,124
1071215,"{27,9648,53}",en,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the holiday. Picking off residents one by one, what begins as random revenge killings are soon revealed to be part of a larger, sinister holiday plan.",1154.175,2023-11-16,Thanksgiving,6.7,407,15000000.0,44000000.0,106
507089,"{27,9648}",en,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",1078.27,2023-10-25,Five Nights at Freddy's,7.8,3049,20000000.0,290900000.0,110
897087,"{28,35}",en,"An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but a military coup breaks out in the middle of the interview, they are forced to escape into the jungle where they must survive.",1044.989,2023-10-05,Freelance,6.5,426,40000000.0,8900000.0,108
670292,"{28,12,878}",en,"Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.",1021.825,2023-09-27,The Creator,7.1,1712,80000000.0,104000000.0,134
787699,"{35,10751,14}",en,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",931.227,2023-12-06,Wonka,7.1,801,125000000.0,397468534.0,117
872585,"{18,36}",en,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,889.087,2023-07-19,Oppenheimer,8.1,5844,100000000.0,952000000.0,181
299054,"{28,12,53}",en,"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",886.7,2023-09-15,Expend4bles,6.4,966,100000000.0,58000000.0,103
1075794,"{16,35,10751}",en,"Jaded 74-year-old lizard Leo has been stuck in the same Florida classroom for decades with his terrarium-mate turtle. When he learns he only has one year left to live, he plans to escape to experience life on the outside but instead gets caught up in the problems of his anxious students — including an impossibly mean substitute teacher.",783.093,2023-11-17,Leo,7.5,739,0.0,0.0,102
901362,"{16,10751,10402,14,35}",en,"When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.",659.227,2023-10-12,Trolls Band Together,7.2,463,95000000.0,198700000.0,93
520758,"{16,12,35,10751}",en,A band of fearless chickens flock together to save poultry-kind from an unsettling new threat: a nearby farm that's cooking up something suspicious.,602.308,2023-12-08,Chicken Run: Dawn of the Nugget,7.3,379,0.0,0.0,97
1189927,"{28,35,80}",es,,590.778,2023-10-12,El duelo,7.7,3,0.0,0.0,0
1143183,"{18,10749}",tl,"Mary loves John for as long as she can remember. But after years of marriage, John's priorities shift, leading to a strained relationship with Mary, which causes a tragic accident that takes away Mary's life. Until one day, John gets an extraordinary proposition - to rewind time and save the life of the woman he loves.",589.269,2023-12-25,Rewind,7.4,6,0.0,7201952.0,112
1131755,{27},en,A nurse taking care of her daughter's mysterious affliction struggles to hide her secrets when uninvited strangers take shelter in her house during a lethal blizzard.,557.18,2023-12-08,A Creature Was Stirring,5.2,10,0.0,0.0,96
853387,{27},en,"When the daughter of the town's new priest goes missing during the harvest festival, a desperate search begins, uncovering the town's dark history and resurfacing tales of a mysterious, malevolent spirit that demands sacrifice.",541.598,2023-10-26,Lord of Misrule,5.6,12,0.0,0.0,104
360920,"{16,10751,35,14}",en,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,232.667,2018-11-08,The Grinch,6.9,3640,75000000.0,508600000.0,85
502356,"{16,10751,12,14,35}",en,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",535.676,2023-04-05,The Super Mario Bros. Movie,7.7,7647,100000000.0,1362000000.0,93
385687,"{28,80,53}",en,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",515.566,2023-05-17,Fast X,7.2,4616,340000000.0,704709660.0,142
926393,"{28,53,80}",en,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",509.718,2023-08-30,The Equalizer 3,7.4,2020,70000000.0,190000000.0,109
